,Title,Link,Date
0,The impact of war: extreme demand for euro cash in the wake of Russia’s invasion of Ukraine,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_05~3fd09c5bc9.en.html,21-Jun-23
1,Impact of Brexit on the international role of the euro,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_04~f43eab6f30.en.html,21-Jun-23
2,Valuation effects and rebalancing of official foreign exchange reserves,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_03~bc9d9d7ec8.en.html,21-Jun-23
3,Investment funds and search for yield within the sovereign debt market of highly-rated issuers,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_02~34a6efea84.en.html,21-Jun-23
4,Internationalisation of the renminbi and capital account openness,https://www.ecb.europa.eu/pub/ire/focus/html/ecb.irebox202306_01~d3f9e5dbdf.en.html,21-Jun-23
5,Determinants of currency choice in cross-border bank loans,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_03~0d41990c46.en.html,21-Jun-23
6,How is a leading international currency replaced by another? Old versus new evidence,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_02~8c333b3f27.en.html,21-Jun-23
7,Geopolitical fragmentation risks and international currencies,https://www.ecb.europa.eu/pub/ire/article/html/ecb.ireart202306_01~11d437be4d.en.html,21-Jun-23
8,"The international role of the euro, June 2023",https://www.ecb.europa.eu/pub/ire/html/ecb.ire202306~d334007ede.en.html,21-Jun-23
9,Statistical annex,https://www.ecb.europa.eu/pub/pdf/ire/ecb.ire202306_annex~9d9ffbe4d3.en.pdf?57a6df5b74ee6bc8a3ec578d4c376422,21-Jun-23
10,International use of the euro was resilient in 2022,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230621~fb1c134626.en.html,21-Jun-23
11,Recent advances in the literature on capital flow management,https://www.ecb.europa.eu/pub/pdf/scpops/ecb.op317~4b572c363a.en.pdf?da4141d0940ba902ca389e9c72700975,20-Jun-23
12,Reporting and derivation of data on financial transactions related to banks’ securities holdings,https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps44~b754672ed6.en.pdf?f95543725062c0aa88094d0f9a78615f,19-Jun-23
13,Firm-bank relationships: a cross-country comparison,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2826~cbbb571758.en.pdf?88c7d21a1aa1bd27d8ced0dff6ae917c,16-Jun-23
14,TARGET Annual Report 2022,https://www.ecb.europa.eu/pub/targetar/html/ecb.targetar2022.en.html,16-Jun-23
15,A novel high‐frequency indicator of financial integration for monitoring the impact of COVID-19,https://www.ecb.europa.eu/pub/pdf/scpsps/ecb.sps43~291a29d8cc.en.pdf?6ce8959a39711e95f246af69f4cbd75e,16-Jun-23
16,"Eurosystem staff macroeconomic projections for the euro area, June 2023",https://www.ecb.europa.eu/pub/projections/html/ecb.projections202306_eurosystemstaff~6625228e9f.en.html,15-Jun-23
17,Projections charts and tables,https://www.ecb.europa.eu/pub/pdf/annex/ecb.projections202306_eurosystemstaff_annex.en.xlsx?ab5c188a38b8dba86d26e40f63f10c1d,15-Jun-23
18,Survey on the Access to Finance of Enterprises in the euro area - October 2022 to March 2023,https://www.ecb.europa.eu/stats/ecb_surveys/safe/html/ecb.safe202306~58c0da48d6.en.html,07-Jun-23
19,Questionnaire,https://www.ecb.europa.eu/stats/accesstofinancesofenterprises/pdf/questionnaire/ecb.safeq202306.en.pdf?67becfef432d86598d80c9a07276a40d,07-Jun-23
20,Survey on the Access to Finance of Enterprises: strong tightening in perceived financing conditions amid continued rise in turnover,https://www.ecb.europa.eu/press/pr/date/2023/html/ecb.pr230607~7b025e4c73.en.html,07-Jun-23
21,Liquidity buﬀers and open-end investment funds: containing outﬂows and reducing ﬁre sales,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2825~a17cb43e86.en.pdf?2661e81c0efb80150456835883bbfd6e,06-Jun-23
22,TARGET2-Securities Annual Report 2022,https://www.ecb.europa.eu/paym/intro/publications/html/ecb.t2sar2022.en.html,06-Jun-23
23,Exchange of Letters between the ECB and the European Parliament in the area of central banking,https://www.ecb.europa.eu/pub/pdf/other/Exchange_of_Letters_ECB_European_Parliament_central_banking230605~87aa8ed4a3.en.pdf?57a746d72ed5ab3039635d08e708b824,05-Jun-23
24,Central bank communication and trust: an experimental study on the European Central Bank and the general public,https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2824~446692e8f3.en.pdf?8c96633541b8828d368c293f3b0906a2,05-Jun-23
25,"Asset prices, collateral and bank lending: the case of Covid-19 and real estate",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2823~0a128abbd2.en.pdf?d0ddda1e1835f3bf93ece010927cc954,05-Jun-23
26,Non-banks’ liquidity preparedness and leverage: insights and policy implications from recent stress events,https://www.ecb.europa.eu/pub/financial-stability/fsr/focus/2023/html/ecb.fsrbox202305_07~64a379ad82.en.html,01-Jun-23
